"","society_id","society_name","society_xd_id","language_glottocode","language_name","language_family","variable_id","code","code_label","focal_year","sub_case","comment"
"458","Na28","Sekani","xd1044","seka1250","Sekani","Athabaskan-Eyak-Tlingit","EA082",4,"Conical",1880,"",""
"459","Na29","Beaver","xd1045","beav1236","Beaver","Athabaskan-Eyak-Tlingit","EA082",4,"Conical",1850,"",""
"460","Na30","Dene","xd1046","chip1261","Chipewyan","Athabaskan-Eyak-Tlingit","EA082",4,"Conical",1880,"",""
"461","Na31","Eastern Cree","xd1047","sout2978","Southern East Cree","Algic","EA082",4,"Conical",1850,"with special reference to those of Albany and Moose Creek",""
"462","Na32","Montagnais","xd1048","mont1268","Montagnais","Algic","EA082",4,"Conical",1880,"Lake St. John & Mistassini Band",""
"463","Na33","Northern Saulteaux","xd1049","alba1270","Albany River Ojibwa","Algic","EA082",4,"Conical",1870,"Berens River band",""
"464","Na35","Nipigon","xd1051","cent2136","Central Ojibwa","Algic","EA082",4,"Conical",1800,"",""
"465","Na37","Rainy River Ojibwe","xd1053","rain1239","Rainy River Ojibwa","Algic","EA082",4,"Conical",1880,"",""
"466","Na38","Katikitegon","xd1054","uppe1274","Upper Michigan-Wisconsin Chippewa","Algic","EA082",4,"Conical",1800,"with special reference to the Lac Vieux Desert band",""
"467","Na4","Kaska","xd1056","kask1239","Kaska","Athabaskan-Eyak-Tlingit","EA082",4,"Conical",1920,"Upper Liard and Dease River Group",""
"468","Na41","Mi'kmaq","xd1058","mikm1235","Mi'kmaq","Algic","EA082",4,"Conical",1700,"Mainland division",""
"469","Na5","Naskapi","xd1063","nask1242","Naskapi","Algic","EA082",4,"Conical",1890,"with special reference to the northern bands (Barren Ground, Ungava, White Whale River)",""
"470","Na7","Attawapiskat Cree","xd1065","swam1239","Swampy Cree","Algic","EA082",4,"Conical",1900,"with special reference to the Attawapiskat Swampy Cree",""
"471","Nb10","Alkatcho","xd1069","sout2958","Southern Carrier","Athabaskan-Eyak-Tlingit","EA082",4,"Conical",1865,"",""
"472","Nb37","Lassik","xd1098","wail1244","Wailaki","Athabaskan-Eyak-Tlingit","EA082",4,"Conical",1860,"",""
"473","Nc1","Nomlaki","xd1107","noml1242","Nomlaki","Wintuan","EA082",4,"Conical",1850,"",""
"474","Nc10","Achumawi","xd1108","achu1247","Achumawi","Palaihnihan","EA082",4,"Conical",1860,"",""
"476","Nc12","Maidu","xd1110","nort2952","Northeast Maidu","Maiduan","EA082",4,"Conical",1850,"with special reference to the Northeastern Mountain Maidu",""
"477","Nc13","Nisenan","xd1111","nise1244","Nisenan","Maiduan","EA082",4,"Conical",1850,"with special reference to the Hill and Mountain Nisenan",""
"478","Nc14","Wintu","xd1112","nucl1651","Nuclear Wintu","Wintuan","EA082",4,"Conical",1860,"with special reference to the northeastern Wintu",""
"479","Nc15","Coast Yuki","xd1113","yuki1243","Yuki","Yuki-Wappo","EA082",4,"Conical",1860,"",""
"480","Nc16","Huchnom","xd1114","yuki1243","Yuki","Yuki-Wappo","EA082",4,"Conical",1860,"",""
"481","Nc17","Northern Pomo","xd1115","nort2966","Northern Pomo","Pomoan","EA082",4,"Conical",1860,"with special reference to those of Kalekau",""
"482","Nc23","Western Mono","xd1122","mono1275","Mono (USA)","Uto-Aztecan","EA082",4,"Conical",1870,"",""
"483","Nc25","Wukchumni","xd1124","tule1245","Tule-Kaweah Yokuts","Yokutsan","EA082",4,"Conical",1860,"",""
"484","Nc30","Serrano","xd1130","serr1255","Serrano","Uto-Aztecan","EA082",4,"Conical",1870,"",""
"485","Nc32","Cupeño","xd1132","cupe1243","Cupeño","Uto-Aztecan","EA082",4,"Conical",1870,"",""
"486","Nc33","Luiseño","xd1133","luis1253","Luiseno","Uto-Aztecan","EA082",4,"Conical",1860,"",""
"487","Nc7","Yuki","xd1138","yuki1243","Yuki","Yuki-Wappo","EA082",4,"Conical",1850,"",""
"488","Nd14","Coeur d’Alene","xd1146","coeu1236","Coeur d'Alene","Salishan","EA082",4,"Conical",1860,"",""
"489","Nd15","Sinkaitk","xd1147","sout2963","Southern Okanogan","Salishan","EA082",4,"Conical",1880,"",""
"490","Nd16","Wenatchi","xd1148","wena1241","Wenatchi","Salishan","EA082",4,"Conical",1870,"",""
"491","Nd17","Klikitat","xd1149","nucl1237","Nuclear Yakima","Sahaptian","EA082",4,"Conical",1870,"",""
"492","Nd2","Southern Ute","xd1152","utee1244","Ute","Uto-Aztecan","EA082",4,"Conical",1860,"",""
"493","Nd21","Tagotoka","xd1154","nort1551","North Northern Paiute","Uto-Aztecan","EA082",4,"Conical",1870,"",""
"494","Nd24","Kidutokado","xd1157","nort1551","North Northern Paiute","Uto-Aztecan","EA082",4,"Conical",1870,"",""
"495","Nd31","Koso","xd1165","pana1305","Panamint","Uto-Aztecan","EA082",4,"Conical",1850,"",""
"496","Nd32","Tümpisa Shoshone (Saline and Panamint)","xd1166","pana1305","Panamint","Uto-Aztecan","EA082",4,"Conical",1850,"with special reference to those of Saline Valley",""
"497","Nd33","Beatty","xd1167","pana1305","Panamint","Uto-Aztecan","EA082",4,"Conical",1870,"including the Belted Range group",""
"498","Nd34","Lida Shoshoni","xd1168","west2622","Western Shoshoni","Uto-Aztecan","EA082",4,"Conical",1870,"",""
"499","Nd35","Mahaguaduka","xd1169","west2622","Western Shoshoni","Uto-Aztecan","EA082",4,"Conical",1870,"",""
"500","Nd36","Wiyambituka","xd1170","west2622","Western Shoshoni","Uto-Aztecan","EA082",4,"Conical",1870,"",""
"501","Nd37","Railroad Valley Shoshoni","xd1171","west2622","Western Shoshoni","Uto-Aztecan","EA082",4,"Conical",1870,"",""
"502","Nd38","Ely Shoshoni","xd1172","west2622","Western Shoshoni","Uto-Aztecan","EA082",4,"Conical",1870,"",""
"503","Nd39","Spring Valley Shoshoni","xd995","west2622","Western Shoshoni","Uto-Aztecan","EA082",4,"Conical",1870,"including the Shoshoni of Snake and Antelope Valleys",""
"504","Nd40","Tubaduka","xd1175","west2622","Western Shoshoni","Uto-Aztecan","EA082",4,"Conical",1870,"",""
"505","Nd41","Wadaduka","xd1176","west2622","Western Shoshoni","Uto-Aztecan","EA082",4,"Conical",1870,"",""
"506","Nd42","Elko Shoshoni","xd1177","west2622","Western Shoshoni","Uto-Aztecan","EA082",4,"Conical",1870,"including the Carlin, Halleck, and Wells groups",""
"507","Nd45","Bohogue","xd1180","nort2955","Northern Shoshoni","Uto-Aztecan","EA082",4,"Conical",1860,"",""
"508","Nd46","Agaiduka","xd1182","nort2955","Northern Shoshoni","Uto-Aztecan","EA082",4,"Conical",1860,"",""
"509","Nd5","Hukundika","xd1185","nort2955","Northern Shoshoni","Uto-Aztecan","EA082",4,"Conical",1870,"",""
"510","Nd50","Panguitch","xd1186","utee1244","Ute","Uto-Aztecan","EA082",4,"Conical",1860,"",""
"511","Nd51","Moapa","xd1187","sout2969","Southern Paiute","Uto-Aztecan","EA082",4,"Conical",1860,"",""
"512","Nd52","Shivwits","xd1188","sout2969","Southern Paiute","Uto-Aztecan","EA082",4,"Conical",1860,"including the Suwuntsu (St. George), Gunlock, and Uinkaret groups of Southern Paiute",""
"513","Nd53","Southern Paiute (Kaibab)","xd1189","sout2969","Southern Paiute","Uto-Aztecan","EA082",4,"Conical",1860,"",""
"515","Nd60","Moache","xd1197","utee1244","Ute","Uto-Aztecan","EA082",4,"Conical",1860,"",""
"516","Nd61","Taviwatsiu","xd1198","utee1244","Ute","Uto-Aztecan","EA082",4,"Conical",1860,"",""
"517","Nd62","Uncompahgre Ute","xd1199","utee1244","Ute","Uto-Aztecan","EA082",4,"Conical",1860,"",""
"518","Nd63","Bannock","xd1200","bann1248","Bannock","Uto-Aztecan","EA082",4,"Conical",1860,"with special reference to the Eastern Bannock",""
"519","Nd64","Wind River Eastern Shoshone","xd1201","nort2955","Northern Shoshoni","Uto-Aztecan","EA082",4,"Conical",1860,"with special reference to the Kucundika",""
"520","Ne1","Gros Ventre","xd1208","gros1243","Gros Ventre","Algic","EA082",4,"Conical",1880,"Gros Ventre Tribe",""
"521","Ne11","Assiniboine","xd1210","assi1247","Assiniboine","Siouan","EA082",4,"Conical",1870,"",""
"522","Ne12","Blackfoot","xd1211","pieg1239","Piegan","Algic","EA082",4,"Conical",1850,"",""
"523","Ne13","Kainai","xd1212","bloo1239","Blood","Algic","EA082",4,"Conical",1850,"",""
"524","Ne14","Bungi","xd1213","west1510","Western Ojibwa","Algic","EA082",4,"Conical",1850,"",""
"525","Ne17","Kiowa","xd1216","kiow1266","Kiowa","Kiowa-Tanoan","EA082",4,"Conical",1860,"",""
"526","Ne18","Piegan","xd1217","pieg1239","Piegan","Algic","EA082",4,"Conical",1850,"",""
"527","Ne19","Plains Cree","xd1218","plai1258","Plains Cree","Algic","EA082",4,"Conical",1850,"",""
"528","Ne2","Kiowa Apache","xd1219","kiow1264","Kiowa Apache","Athabaskan-Eyak-Tlingit","EA082",4,"Conical",1870,"",""
"529","Ne20","Santee","xd1220","dako1258","Dakota","Siouan","EA082",4,"Conical",1850,"",""
"530","Ne3","Comanche","xd1222","coma1245","Comanche","Uto-Aztecan","EA082",4,"Conical",1870,"Comanche Tribe",""
"531","Ne4","Crow","xd1223","crow1244","Crow","Siouan","EA082",4,"Conical",1870,"",""
"532","Ne5","Cheyenne","xd1224","chey1247","Cheyenne","Algic","EA082",4,"Conical",1860,"",""
"533","Ne7","Sarcee","xd1226","sars1236","Sarsi","Athabaskan-Eyak-Tlingit","EA082",4,"Conical",1880,"",""
"534","Ne8","Teton","xd1227","lako1247","Lakota","Siouan","EA082",4,"Conical",1870,"",""
"535","Ne9","Arapaho","xd1228","arap1274","Arapaho","Algic","EA082",4,"Conical",1860,"",""
"536","Ng12","Choctaw","xd1247","choc1276","Choctaw","Muskogean","EA082",4,"Conical",1760,"",""
"538","Sa4","Emberá","xd1320","nort2972","Northern Emberá","Chocoan","EA082",4,"Conical",1960,"with special reference to those of Panama",""
"539","Sa5","Bribri","xd1321","brib1243","Bribri","Chibchan","EA082",4,"Conical",1950,"",""
"540","Sb2","Cágaba","xd1327","cogu1240","Cogui","Chibchan","EA082",4,"Conical",1940,"",""
"541","Sb8","Taíno","xd1333","tain1254","Taino","Arawakan","EA082",4,"Conical",1520,"",""
"542","Sc11","Camaracoto","xd1337","cama1252","Camaracoto","Cariban","EA082",4,"Conical",1930,"",""
"543","Sc15","Taulípang","xd1341","taul1252","Taulipang","Cariban","EA082",4,"Conical",1910,"",""
"544","Sc16","Ye'kuana","xd1342","maqu1238","Maquiritari","Cariban","EA082",4,"Conical",1920,"with special reference to the Makitare",""
"545","Sd7","Wai-wai","xd1359","waiw1244","Waiwai","Cariban","EA082",4,"Conical",1950,"",""
"546","Sd9","Yanomami","xd1361","yano1261","Yanomamö","Yanomamic","EA082",4,"Conical",1965,"Shamatari Tribe; Bisaasi-teri",""
"547","Sf4","U'wa","xd1377","cent2150","Central Tunebo","Chibchan","EA082",4,"Conical",1950,"",""
"548","Sh5","Choroti","xd1392","iyow1239","Iyo'wujwa Chorote","Matacoan","EA082",4,"Conical",1910,"",""
"549","ec12","Nganasan","xd620","ngan1291","Nganasan","Uralic","EA082",4,"Conical",1930,"Avam (Western) group",""
"550","ec16","Evenk","xd624","even1259","Evenki","Tungusic","EA082",4,"Conical",1890,"Barguzin group",""
"551","ec19","Orok","xd627","orok1265","Orok","Tungusic","EA082",4,"Conical",1890,"Northern group",""
"552","Aa7","Naron","xd7","naro1249","Naro","Khoe-Kwadi","EA082",5,"Semi-hemispherical",1910,"",""
"553","Aa8","/Xam","xd8","xamm1241","/Xam","Tuu","EA082",5,"Semi-hemispherical",1850,"",""
"554","Ag54","Yalunka","xd293","yalu1240","Yalunka","Mande","EA082",5,"Semi-hemispherical",1910,"",""
"555","Id8","Tasmanians (northwestern)","xd783","port1278","Port Sorell","Western Tasmanian","EA082",5,"Semi-hemispherical",1830,"",""
"556","Na12","Nunamiut","xd1029","nort2944","North Slope Inupiatun","Eskimo-Aleut","EA082",5,"Semi-hemispherical",1950,"",""
"557","Na9","Aleut","xd1067","east2533","Eastern Aleut","Eskimo-Aleut","EA082",5,"Semi-hemispherical",1830,"Unalaska Branch (Eastern Aleut)",""
"558","Sg3","Ona","xd1385","onaa1245","Selk'nam","Chonan","EA082",5,"Semi-hemispherical",1880,"with special reference to the Shelknam",""
"559","Sg4","Tehuelche","xd1386","tehu1242","Tehuelche","Chonan","EA082",5,"Semi-hemispherical",1870,"Equestrian",""
"560","Af41","Attie","xd221","atti1239","Attié","Atlantic-Congo","EA082",6,"One slope",1890,"",""
"562","Eh1","Andamanese","xd686","akab1249","Aka-Bea","Great Andamanese","EA082",6,"One slope",1870,"",""
"563","Ej1","Lamet","xd716","lame1256","Lamet","Austroasiatic","EA082",6,"One slope",1940,"Lamet Tribe, Northwestern Laos",""
"564","Ej3","Semang","xd725","kens1248","Kensiu","Austroasiatic","EA082",6,"One slope",1920,"Jehai Group or subtribe",""
"565","Id1","Northern Aranda","xd772","east2379","Eastern Arrernte","Pama-Nyungan","EA082",6,"One slope",1900,"Alice Springs and environs",""
"566","Id10","Walbiri","xd773","warl1254","Warlpiri","Pama-Nyungan","EA082",6,"One slope",1930,"",""
"567","Nb12","Klahoose","xd1071","slia1241","Sliammon","Salishan","EA082",6,"One slope",1880,"",""
"568","Nb13","Squamish","xd1072","squa1248","Squamish","Salishan","EA082",6,"One slope",1880,"",""
"569","Nb24","Makah","xd1084","maka1318","Makah","Wakashan","EA082",6,"One slope",1860,"",""
"570","Nb26","Cowichan","xd1086","cowi1241","Cowichan","Salishan","EA082",6,"One slope",1880,"",""
"571","Sd4","Guaica","xd1356","yano1262","Yanomámi","Yanomamic","EA082",6,"One slope",1950,"",""
"572","Sd6","Shiriana","xd1358","nina1238","Ninam","Yanomamic","EA082",6,"One slope",1960,"",""
"573","Sh3","Abipón","xd1390","abip1241","Abipon","Guaicuruan","EA082",6,"One slope",1800,"Those in contact with mission",""
"574","Sh6","Chamacoco","xd1393","cham1315","Chamacoco","Zamucoan","EA082",6,"One slope",1890,"",""
"575","Ad23","Sangu","xd91","sang1330","Sangu (Tanzania)","Atlantic-Congo","EA082",7,"Flat",1910,"",""
"576","Ad24","Gogo","xd92","gogo1263","Gogo","Atlantic-Congo","EA082",7,"Flat",1910,"",""
"577","Ad25","Rangi","xd93","lang1320","Langi","Atlantic-Congo","EA082",7,"Flat",1900,"",""
"578","Ad26","Turu","xd94","nyat1246","Nyaturu","Atlantic-Congo","EA082",7,"Flat",1910,"",""
"579","Ad4","Kikuyu","xd109","kiku1240","Kikuyu","Atlantic-Congo","EA082",7,"Flat",1930,"Fort Hall or Metume district",""
"580","Ad5","Mbugwe","xd120","mbug1242","Mbugwe","Atlantic-Congo","EA082",7,"Flat",1940,"",""
"581","Ad50","Kaguru","xd121","kagu1239","Kagulu","Atlantic-Congo","EA082",7,"Flat",1900,"with special reference to the Mountain Kaguru",""
"582","Ad8","Hehe","xd125","hehe1240","Hehe","Atlantic-Congo","EA082",7,"Flat",1910,"with special reference to the northern or Iringa group",""
"583","Af37","Buem","xd216","siwu1238","Siwu","Atlantic-Congo","EA082",7,"Flat",1900,"with special reference to the Akpafu",""
"584","Ag1","Bambara","xd244","bamb1269","Bambara","Mande","EA082",7,"Flat",1920,"Segou to Bamako on Niger River",""
"585","Ag11","Lobi","xd246","lobi1245","Lobi","Atlantic-Congo","EA082",7,"Flat",1910,"",""
"586","Ag13","Kasena","xd248","kase1253","Kasem","Atlantic-Congo","EA082",7,"Flat",1910,"",""
"587","Ag25","Soninke","xd261","soni1259","Soninke","Mande","EA082",7,"Flat",1900,"",""
"588","Ag27","Diula","xd263","dyul1238","Dyula","Mande","EA082",7,"Flat",1910,"",""
"589","Ag28","Nononke","xd264","jena1242","Jenaama Bozo","Mande","EA082",7,"Flat",1930,"",""
"590","Ag29","Samo","xd265","sout2844","Southern Samo","Mande","EA082",7,"Flat",1910,"",""
"591","Ag3","Dogon","xd266","bank1259","Bankan Tey Dogon","Dogon","EA082",7,"Flat",1930,"",""
"592","Ag30","Bobo","xd267","nort2819","Northern Bobo Madaré","Mande","EA082",7,"Flat",1910,"",""
"593","Ag31","Minianka","xd268","mama1271","Mamara Senoufo","Atlantic-Congo","EA082",7,"Flat",1910,"",""
"594","Ag33","Dyan","xd270","dyan1251","Dyan","Atlantic-Congo","EA082",7,"Flat",1920,"",""
"595","Ag34","Dorosie","xd271","dogo1295","Dogosé","Atlantic-Congo","EA082",7,"Flat",1930,"",""
"596","Ag36","Lowiili","xd273","sout2790","Southern Birifor","Atlantic-Congo","EA082",7,"Flat",1950,"",""
"597","Ag37","Awuna","xd274","awun1244","Awuna","Atlantic-Congo","EA082",7,"Flat",1910,"",""
"598","Ag39","Dagara","xd276","sout2789","Central Dagaare","Atlantic-Congo","EA082",7,"Flat",1910,"",""
"599","Ag40","Isala","xd278","tumu1242","Tumulung Sisaala","Atlantic-Congo","EA082",7,"Flat",1910,"",""
"600","Ag42","Nunuma","xd280","sout2795","Southern Nuni","Atlantic-Congo","EA082",7,"Flat",1910,"",""
"601","Ag43","Vagala","xd281","vagl1239","Vagla","Atlantic-Congo","EA082",7,"Flat",1920,"",""
"602","Ag5","Birifor","xd288","sout2790","Southern Birifor","Atlantic-Congo","EA082",7,"Flat",1930,"",""
"603","Ag7","Bozo","xd295","tiey1235","Tiéyaxo Bozo","Mande","EA082",7,"Flat",1930,"",""
"604","Aj28","Tatoga","xd404","dato1239","Barabayiiga-Gisamjanga","Nilotic","EA082",7,"Flat",1940,"",""
"605","Ca9","Goroa","xd457","goro1270","Gorowa","Afro-Asiatic","EA082",7,"Flat",1890,"",""
"606","Cb22","Liptako","xd472","west2454","Western Niger Fulfulde","Atlantic-Congo","EA082",7,"Flat",1920,"",""
"607","Cc15","Drawa","xd493","susi1238","Susiua","Afro-Asiatic","EA082",7,"Flat",1920,"",""
"608","Cc3","Siwans","xd500","siwi1239","Siwi","Afro-Asiatic","EA082",7,"Flat",1920,"inhabitants of the oasis of Siwa",""
"609","Cc4","Mzab","xd501","tumz1238","Tumzabt","Afro-Asiatic","EA082",7,"Flat",1920,"",""
"610","Cc8","Aulliminden","xd505","ioul1238","Ioullemmeden","Afro-Asiatic","EA082",7,"Flat",1890,"",""
"611","Cd1","Barabra","xd507","kenu1236","Kenuzi-Dongola","Nubian","EA082",7,"Flat",1920,"Kenuzi Nubians of Dahmit",""
"612","Cd10","Zekara","xd508","chen1266","Western Algerian Berber","Afro-Asiatic","EA082",7,"Flat",1900,"",""
"613","Cd11","Guanche","xd509","guan1277","Guanche","Afro-Asiatic","EA082",7,"Flat",1500,"",""
"614","Cd12","Algerians","xd510","algi1247","Algiers","Afro-Asiatic","EA082",7,"Flat",1870,"",""
"615","Cd16","Moroccans","xd514","sout3117","Southern Morocco Arabic","Afro-Asiatic","EA082",7,"Flat",1930,"with special reference to those in the hinterlandof Casablanca",""
"616","Cd19","Sahel","xd517","sahi1245","Sahil","Afro-Asiatic","EA082",7,"Flat",1920,"",""
"617","Cd2","Egyptians","xd518","egyp1253","Egyptian Arabic","Afro-Asiatic","EA082",7,"Flat",1950,"Town and environs of Silwa",""
"618","Cd21","Tunisians","xd520","tuni1260","Tunis (Tunisian Arabic)","Afro-Asiatic","EA082",7,"Flat",1930,"",""
"619","Cd3","Riffians","xd521","tari1263","Tarifiyt-Beni-Iznasen-Eastern Middle Atlas Berber","Afro-Asiatic","EA082",7,"Flat",1920,"Entirety: Moroccan",""
"620","Cd5","Shluh","xd523","susi1238","Susiua","Afro-Asiatic","EA082",7,"Flat",1920,"with special reference to those of the Grand Atlas Mountains",""
"621","Cd6","Ancient Egyptians","xd524","egyp1246","Egyptian (Ancient)","Afro-Asiatic","EA082",7,"Flat",-1400,"with special reference to the New Empire",""
"622","Cd8","Shawiya","xd526","tach1249","Chaouia of the Aures","Afro-Asiatic","EA082",7,"Flat",1910,"",""
"623","Cd9","Tekna","xd527","hass1238","Hassaniyya","Afro-Asiatic","EA082",7,"Flat",1900,"",""
"624","Ce5","Neapolitans","xd532","neap1235","Continental Southern Italian","Indo-European","EA082",7,"Flat",1960,"with special reference to the inhabitants of the city of Naples and its immediate environs",""
"625","Ci10","Armenians","xd575","nucl1235","Eastern Armenian","Indo-European","EA082",7,"Flat",1900,"Vicinity of Erevan",""
"626","Ci11","Kurd","xd576","cent1972","Central Kurdish","Indo-European","EA082",7,"Flat",1940,"",""
"627","Ci2","Khevsur","xd578","xevs1238","Xevsur","Kartvelian","EA082",7,"Flat",1930,"",""
"628","Ci3","Kumyk","xd579","kumy1244","Kumyk","Turkic","EA082",7,"Flat",1900,"with special reference to the Kayakent group of eastern Dagestan",""
"629","Ci6","Ossetians","xd582","osse1243","Ossetian","Indo-European","EA082",7,"Flat",1880,"",""
"630","Ci7","Chechen","xd583","chec1245","Chechen","Nakh-Daghestanian","EA082",7,"Flat",1900,"",""
"631","Ci8","Georgians","xd584","imer1248","Imeretian","Kartvelian","EA082",7,"Flat",1850,"",""
"632","Ci9","Svan","xd585","svan1243","Svan","Kartvelian","EA082",7,"Flat",1910,"",""
"633","Cj3","Hebrews","xd589","anci1244","Ancient Hebrew","Afro-Asiatic","EA082",7,"Flat",-800,"",""
"634","Cj4","Babylonians","xd590","akka1240","Akkadian","Afro-Asiatic","EA082",7,"Flat",-2000,"City and environs of Babylon",""
"635","Cj5","Mutair","xd591","sout3119","South Najdi","Afro-Asiatic","EA082",7,"Flat",1930,"",""
"636","Cj6","Jordanians","xd592","sout3123","South Levantine Arabic","Afro-Asiatic","EA082",7,"Flat",1950,"with special reference to the sedentary population",""
"637","Cj7","Lebanese","xd593","nort3139","North Levantine Arabic","Afro-Asiatic","EA082",7,"Flat",1950,"with special reference to the village of Munsif",""
"638","Cj8","Druze","xd594","sunn1238","Sunni Beiruti Arabic","Afro-Asiatic","EA082",7,"Flat",1930,"with special reference to those of Mount Carmel in Israel",""
"639","Cj9","Yemeni","xd595","sana1295","Sanaani Arabic","Afro-Asiatic","EA082",7,"Flat",1950,"",""
"640","Ea11","Ghilzai","xd598","ghil1238","Ghilzai","Indo-European","EA082",7,"Flat",1950,"with special reference to the Ghilzai tribe",""
"641","Ea12","Qashqui","xd599","qash1240","Qashqa'i","Turkic","EA082",7,"Flat",1940,"",""
"642","Ea13","Punjabi","xd600","west2386","Western Panjabi","Indo-European","EA082",7,"Flat",1950,"Mohla Village",""
"643","Ea2","Yusufzai","xd601","yusu1238","Yusufzai","Indo-European","EA082",7,"Flat",1950,"with special reference to the Yusufsai of Swat",""
"644","Ea3","Hazara","xd602","haza1239","Hazaragi","Indo-European","EA082",7,"Flat",1930,"with special reference to the Urazgani",""
"645","Ea4","Kohistani","xd603","indu1241","Indus Kohistani","Indo-European","EA082",7,"Flat",1950,"",""
"646","Ea5","Nuristani","xd604","kamv1242","Kamviri","Indo-European","EA082",7,"Flat",1890,"",""
"647","Ea6","Basseri","xd605","bass1257","Basseri","Indo-European","EA082",7,"Flat",1958,"Nomadic branch",""
"648","Ea8","Bakhtiari","xd607","bakh1245","Bakhtiari","Indo-European","EA082",7,"Flat",1920,"",""
"650","Ec5","Koryak","xd633","kory1246","Koryak","Chukotko-Kamchatkan","EA082",7,"Flat",1900,"with special reference to the Maritime Koryak",""
"651","Ec8","Ket","xd636","kett1243","Ket","Yeniseian","EA082",7,"Flat",1900,"",""
"652","Ee4","Tibetans","xd656","tibe1272","Tibetan","Sino-Tibetan","EA082",7,"Flat",1920,"with special reference to Central Tibet",""
"653","Ee5","Shina","xd657","shin1264","Shina","Indo-European","EA082",7,"Flat",1870,"with special reference to the Shina tribe",""
"654","Ib8","Anak Dalam","xd757","kubu1239","Kubu","Austronesian","EA082",7,"Flat",1900,"with special reference to the Ridan group",""
"655","Na10","Chugach","xd1027","chug1254","Chugach","Eskimo-Aleut","EA082",7,"Flat",1930,"",""
"656","Nh10","Isleta","xd1260","sout2961","Southern Tiwa","Kiowa-Tanoan","EA082",7,"Flat",1920,"",""
"657","Nh11","San Ildefonso","xd1261","sani1273","San Ildefonso","Kiowa-Tanoan","EA082",7,"Flat",1900,"with special reference to the pueblo of San Ildefonso",""
"658","Nh12","Santa Ana","xd1262","sant1426","Santa Ana","Keresan","EA082",7,"Flat",1920,"",""
"659","Nh13","Acoma","xd1263","acom1246","Acoma","Keresan","EA082",7,"Flat",1920,"",""
"660","Nh14","Laguna","xd1264","acom1246","Acoma","Keresan","EA082",7,"Flat",1920,"",""
"661","Nh18","Hopi","xd1268","hopi1249","Hopi","Uto-Aztecan","EA082",7,"Flat",1920,"Old Oraiibi",""
"662","Nh2","Hano","xd1270","ariz1237","Arizona Tewa","Kiowa-Tanoan","EA082",7,"Flat",1950,"",""
"663","Nh25","Sia","xd1276","ziaa1251","Zia (United States)","Keresan","EA082",7,"Flat",1920,"",""
"665","Nh6","Taos","xd1282","taos1236","Taos","Kiowa-Tanoan","EA082",7,"Flat",1890,"",""
"666","Nh7","Cochiti","xd1283","coch1273","Cochiti","Keresan","EA082",7,"Flat",1890,"",""
"667","Nh8","Jemez","xd1284","jeme1245","Towa","Kiowa-Tanoan","EA082",7,"Flat",1920,"",""
"668","Nh9","Picuris","xd1285","picu1248","Picuris Northern Tiwa","Kiowa-Tanoan","EA082",7,"Flat",1920,"",""
"669","Nj2","Aztec","xd1301","clas1250","Classical Nahuatl","Uto-Aztecan","EA082",7,"Flat",1520,"City & environs of Tenochtitlan",""
"670","Ac11","Luvale","xd35","luva1239","Luvale","Atlantic-Congo","EA082",8,"Two slopes",1930,"",""
"671","Ac14","Bakongo","xd38","sans1272","Cimbala-Cizali","Atlantic-Congo","EA082",8,"Two slopes",1900,"",""
"672","Ac16","Mitsogho","xd40","tsog1243","Tsogo","Atlantic-Congo","EA082",8,"Two slopes",1940,"",""
"673","Ac17","Suku","xd41","suku1259","Suku","Atlantic-Congo","EA082",8,"Two slopes",1910,"Feshi territory lineage center",""
"674","Ac18","Sundi","xd42","koon1244","South-Central Kikongo","Atlantic-Congo","EA082",8,"Two slopes",1910,"",""
"675","Ac19","Teke","xd43","teke1278","Teke-Eboo-Nzikou","Atlantic-Congo","EA082",8,"Two slopes",1880,"",""
"676","Ac20","Yaka","xd45","yaka1269","Yaka-Pelende-Lonzo","Atlantic-Congo","EA082",8,"Two slopes",1920,"",""
"677","Ac22","Dzing","xd47","ding1239","Ding","Atlantic-Congo","EA082",8,"Two slopes",1930,"",""
"678","Ac23","Lele","xd48","lele1265","Lele (Democratic Republic of Congo)","Atlantic-Congo","EA082",8,"Two slopes",1950,"with special reference to the western Lele",""
"679","Ac24","Sakata","xd49","saka1287","Sakata","Atlantic-Congo","EA082",8,"Two slopes",1910,"",""
"680","Ac26","Yanzi","xd51","yans1239","Yansi","Atlantic-Congo","EA082",8,"Two slopes",1920,"",""
"681","Ac27","Luchazi","xd52","luch1239","Luchazi","Atlantic-Congo","EA082",8,"Two slopes",1930,"",""
"682","Ac4","Kuba","xd66","bush1247","Bushoong","Atlantic-Congo","EA082",8,"Two slopes",1910,"with special reference to the Bushoong, the central subtribe",""
"683","Ac8","Yombe","xd74","yomb1244","Yombe","Atlantic-Congo","EA082",8,"Two slopes",1930,"",""
"684","Ad1","Bajuni","xd76","baju1245","Bajuni","Atlantic-Congo","EA082",8,"Two slopes",1950,"",""
"685","Ad11","Bena","xd78","bena1262","Bena (Tanzania)","Atlantic-Congo","EA082",8,"Two slopes",1930,"",""
"686","Ad13","Kiga","xd80","chig1238","Chiga","Atlantic-Congo","EA082",8,"Two slopes",1930,"",""
"687","Ad14","Luguru","xd81","lugu1238","Luguru","Atlantic-Congo","EA082",8,"Two slopes",1930,"Morogoro District",""
